Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"SW2","SW_PUSH","SW_Kailh_Choc_V1",32.000000,-32.000000,180.000000,top
"SW3","SW_PUSH","SW_Kailh_Choc_V1",52.000000,-32.000000,180.000000,top
"SW4","SW_PUSH","SW_Kailh_Choc_V1",68.000000,-32.000000,180.000000,top
"SW5","SW_PUSH","SW_Kailh_Choc_V1",84.000000,-32.000000,180.000000,top
"SW6","SW_PUSH","SW_Kailh_Choc_V1",100.000000,-32.000000,180.000000,top
"SW7","SW_PUSH","SW_Kailh_Choc_V1",116.000000,-32.000000,180.000000,top
"SW8","SW_PUSH","SW_Kailh_Choc_V1",132.000000,-32.000000,180.000000,top
"SW9","SW_PUSH","SW_Kailh_Choc_V1",148.000000,-32.000000,180.000000,top
"SW10","SW_PUSH","SW_Kailh_Choc_V1",164.000000,-32.000000,180.000000,top
"SW11","SW_PUSH","SW_Kailh_Choc_V1",180.000000,-32.000000,180.000000,top
"SW12","SW_PUSH","SW_Kailh_Choc_V1",196.000000,-32.000000,180.000000,top
"SW13","SW_PUSH","SW_Kailh_Choc_V1",216.000000,-32.000000,180.000000,top
"SW14","SW_PUSH","SW_Kailh_Choc_V1",32.000000,-48.000000,180.000000,top
"SW15","SW_PUSH","SW_Kailh_Choc_V1",52.000000,-48.000000,180.000000,top
"SW16","SW_PUSH","SW_Kailh_Choc_V1",68.000000,-48.000000,180.000000,top
"SW17","SW_PUSH","SW_Kailh_Choc_V1",84.000000,-48.000000,180.000000,top
"SW18","SW_PUSH","SW_Kailh_Choc_V1",100.000000,-48.000000,180.000000,top
"SW19","SW_PUSH","SW_Kailh_Choc_V1",116.000000,-48.000000,180.000000,top
"SW20","SW_PUSH","SW_Kailh_Choc_V1",132.000000,-48.000000,180.000000,top
"SW21","SW_PUSH","SW_Kailh_Choc_V1",148.000000,-48.000000,180.000000,top
"SW22","SW_PUSH","SW_Kailh_Choc_V1",164.000000,-48.000000,180.000000,top
"SW23","SW_PUSH","SW_Kailh_Choc_V1",180.000000,-48.000000,180.000000,top
"SW24","SW_PUSH","SW_Kailh_Choc_V1",196.000000,-48.000000,180.000000,top
"SW25","SW_PUSH","SW_Kailh_Choc_V1",216.000000,-48.000000,180.000000,top
"SW26","SW_PUSH","SW_Kailh_Choc_V1",32.000000,-64.000000,180.000000,top
"SW27","SW_PUSH","SW_Kailh_Choc_V1",52.000000,-64.000000,180.000000,top
"SW28","SW_PUSH","SW_Kailh_Choc_V1",68.000000,-64.000000,180.000000,top
"SW29","SW_PUSH","SW_Kailh_Choc_V1",84.000000,-64.000000,180.000000,top
"SW30","SW_PUSH","SW_Kailh_Choc_V1",100.000000,-64.000000,180.000000,top
"SW31","SW_PUSH","SW_Kailh_Choc_V1",116.000000,-64.000000,180.000000,top
"SW32","SW_PUSH","SW_Kailh_Choc_V1",132.000000,-64.000000,180.000000,top
"SW33","SW_PUSH","SW_Kailh_Choc_V1",148.000000,-64.000000,180.000000,top
"SW34","SW_PUSH","SW_Kailh_Choc_V1",164.000000,-64.000000,180.000000,top
"SW35","SW_PUSH","SW_Kailh_Choc_V1",180.000000,-64.000000,180.000000,top
"SW36","SW_PUSH","SW_Kailh_Choc_V1",196.000000,-64.000000,180.000000,top
"SW37","SW_PUSH","SW_Kailh_Choc_V1",216.000000,-64.000000,180.000000,top
"SW38","SW_PUSH","SW_Kailh_Choc_V1",32.000000,-80.000000,180.000000,top
"SW39","SW_PUSH","SW_Kailh_Choc_V1",52.000000,-80.000000,180.000000,top
"SW40","SW_PUSH","SW_Kailh_Choc_V1",68.000000,-80.000000,180.000000,top
"SW41","SW_PUSH","SW_Kailh_Choc_V1",84.000000,-80.000000,180.000000,top
"SW42","SW_PUSH","SW_Kailh_Choc_V1",100.000000,-80.000000,0.000000,top
"SW43","SW_PUSH","SW_Kailh_Choc_V1",116.000000,-80.000000,0.000000,top
"SW44","SW_PUSH","SW_Kailh_Choc_V1",132.000000,-80.000000,0.000000,top
"SW45","SW_PUSH","SW_Kailh_Choc_V1",148.000000,-80.000000,0.000000,top
"SW46","SW_PUSH","SW_Kailh_Choc_V1",164.000000,-80.000000,180.000000,top
"SW47","SW_PUSH","SW_Kailh_Choc_V1",180.000000,-80.000000,180.000000,top
"SW48","SW_PUSH","SW_Kailh_Choc_V1",196.000000,-80.000000,180.000000,top
"SW49","SW_PUSH","SW_Kailh_Choc_V1",216.000000,-80.000000,180.000000,top
"SW50","SW_PUSH","SW_Kailh_Choc_V1",32.000000,-96.000000,180.000000,top
"SW51","SW_PUSH","SW_Kailh_Choc_V1",52.000000,-96.000000,180.000000,top
"SW52","SW_PUSH","SW_Kailh_Choc_V1",68.000000,-96.000000,180.000000,top
"SW53","SW_PUSH","SW_Kailh_Choc_V1",92.000000,-96.000000,180.000000,top
"SW54","SW_PUSH","SW_Kailh_Choc_V1",112.000000,-96.000000,180.000000,top
"SW55","SW_PUSH","SW_Kailh_Choc_V1",136.000000,-96.000000,180.000000,top
"SW56","SW_PUSH","SW_Kailh_Choc_V1",156.000000,-96.000000,180.000000,top
"SW57","SW_PUSH","SW_Kailh_Choc_V1",180.000000,-96.000000,180.000000,top
"SW58","SW_PUSH","SW_Kailh_Choc_V1",196.000000,-96.000000,180.000000,top
"SW59","SW_PUSH","SW_Kailh_Choc_V1",216.000000,-96.000000,180.000000,top
